fold_id,period,variable,coef,pvalue
65,BASELINE,d_ttf_eur_mwh_lag2,1.4822143196838766,1.7337886835527874e-44
65,BASELINE,d_DCOILBRENTEU_lag2,-0.024199199374772384,0.9571633403547303
65,BASELINE,d_gpr_daily_lag2,0.04182384839083724,0.2155988318162505
65,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
66,BASELINE,d_ttf_eur_mwh_lag2,1.485815150771331,1.858516033979215e-45
66,BASELINE,d_DCOILBRENTEU_lag2,-0.036898581894557476,0.9337786535870986
66,BASELINE,d_gpr_daily_lag2,0.041262562752147715,0.21840502017870356
66,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
67,BASELINE,d_ttf_eur_mwh_lag2,1.489015265239388,4.171337288030921e-46
67,BASELINE,d_DCOILBRENTEU_lag2,-0.047701405765177236,0.9144503964110794
67,BASELINE,d_gpr_daily_lag2,0.04613522508170657,0.16498027621645417
67,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
68,BASELINE,d_ttf_eur_mwh_lag2,1.483061212450381,2.8993201589773795e-46
68,BASELINE,d_DCOILBRENTEU_lag2,-0.032205195070725494,0.9418607078778606
68,BASELINE,d_gpr_daily_lag2,0.0471884763224928,0.1528495907961418
68,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
69,BASELINE,d_ttf_eur_mwh_lag2,1.4871934528893804,1.7464021850289392e-47
69,BASELINE,d_DCOILBRENTEU_lag2,-0.02989325501862514,0.9453986084073477
69,BASELINE,d_gpr_daily_lag2,0.046008285584570936,0.15997591499731356
69,BASELINE,d_guardian_sentiment_mean_lag2,0.0,
70,BASELINE,d_ttf_eur_mwh_lag2,1.4886079433929273,2.070551164720522e-48
70,BASELINE,d_DCOILBRENTEU_lag2,-0.029833594698448918,0.9449971102802666
70,BASELINE,d_gpr_daily_lag2,0.045831342939660215,0.15826779029489668
70,BASELINE,d_guardian_sentiment_mean_lag2,0.0,
71,BASELINE,d_ttf_eur_mwh_lag2,1.4883645434972257,5.3048699867615575e-49
71,BASELINE,d_DCOILBRENTEU_lag2,-0.042732519604731865,0.9206066584461914
71,BASELINE,d_gpr_daily_lag2,0.046988597397827424,0.14520838027702768
71,BASELINE,d_guardian_sentiment_mean_lag2,0.0,
72,BASELINE,d_ttf_eur_mwh_lag2,1.4866296035863527,1.741103647614194e-49
72,BASELINE,d_DCOILBRENTEU_lag2,-0.047345406656735485,0.9112963158988573
72,BASELINE,d_gpr_daily_lag2,0.04650386188383849,0.14638755005766493
72,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
73,BASELINE,d_ttf_eur_mwh_lag2,1.4914797196816156,7.781383651637704e-51
73,BASELINE,d_DCOILBRENTEU_lag2,-0.02716096471761132,0.9485030937443114
73,BASELINE,d_gpr_daily_lag2,0.04394691864774015,0.16719890663057946
73,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
74,BASELINE,d_ttf_eur_mwh_lag2,1.4977702158570878,3.0684413159679746e-52
74,BASELINE,d_DCOILBRENTEU_lag2,-0.01817292891440385,0.9652644292247533
74,BASELINE,d_gpr_daily_lag2,0.04216211371387696,0.1816313828615791
74,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
75,BASELINE,d_ttf_eur_mwh_lag2,1.4976181476163741,1.1727067207574923e-79
75,BASELINE,d_DCOILBRENTEU_lag2,-0.029600030555160244,0.9400474290552006
75,BASELINE,d_gpr_daily_lag2,0.0420319508828152,0.1806022750957721
75,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
76,BASELINE,d_ttf_eur_mwh_lag2,1.4967747377494007,1.487630550648571e-53
76,BASELINE,d_DCOILBRENTEU_lag2,-0.025524304333172685,0.9502703791259511
76,BASELINE,d_gpr_daily_lag2,0.042517417852329174,0.17267094162509444
76,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
77,BASELINE,d_ttf_eur_mwh_lag2,1.4957509660619546,4.4845107648676795e-54
77,BASELINE,d_DCOILBRENTEU_lag2,-0.033414320992611546,0.9344028720275502
77,BASELINE,d_gpr_daily_lag2,0.04087277751810587,0.1862826621562682
77,BASELINE,d_guardian_sentiment_mean_lag2,0.0,
78,BASELINE,d_ttf_eur_mwh_lag2,1.494997421641455,9.946179494887933e-55
78,BASELINE,d_DCOILBRENTEU_lag2,-0.03780664349827307,0.9252033772605278
78,BASELINE,d_gpr_daily_lag2,0.04026241844539701,0.18948444261178532
78,BASELINE,d_guardian_sentiment_mean_lag2,0.0,
79,BASELINE,d_ttf_eur_mwh_lag2,1.499354441675004,3.7679669023508484e-55
79,BASELINE,d_DCOILBRENTEU_lag2,-0.03154405309397149,0.9374603391175087
79,BASELINE,d_gpr_daily_lag2,0.040238886596881004,0.19160703919183297
79,BASELINE,d_guardian_sentiment_mean_lag2,0.0,
80,BASELINE,d_ttf_eur_mwh_lag2,1.4970099379107593,1.1665126883705199e-55
80,BASELINE,d_DCOILBRENTEU_lag2,-0.02603239996326298,0.9479550217994797
80,BASELINE,d_gpr_daily_lag2,0.04040453644543482,0.18714102265098875
80,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
81,BASELINE,d_ttf_eur_mwh_lag2,1.499600335691685,1.1982961781129617e-56
81,BASELINE,d_DCOILBRENTEU_lag2,-0.028369815309079272,0.9428891963621426
81,BASELINE,d_gpr_daily_lag2,0.04128766599353718,0.17344795499570975
81,BASELINE,d_guardian_sentiment_mean_lag2,0.0,
82,BASELINE,d_ttf_eur_mwh_lag2,1.4986290480439168,3.358732588871995e-57
82,BASELINE,d_DCOILBRENTEU_lag2,-0.030784872842805042,0.9376678335706156
82,BASELINE,d_gpr_daily_lag2,0.04039349343650071,0.1798087204114348
82,BASELINE,d_guardian_sentiment_mean_lag2,0.0,1.0
83,BASELINE,d_ttf_eur_mwh_lag2,1.49955588443873,4.3376731184528796e-58
